,file_name,total_RNAs
0,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_005_results_results_cell_0.npz,37
1,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_005_results_results_cell_1.npz,42
2,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_005_results_results_cell_2.npz,15
3,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_005_results_results_cell_3.npz,663
4,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_005_results_results_cell_4.npz,1902
5,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_005_results_results_cell_5.npz,63
6,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_005_results_results_cell_6.npz,23
7,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_005_results_results_cell_7.npz,5
8,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_005_results_results_cell_8.npz,78
9,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_005_results_results_cell_9.npz,10
10,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_005_results_results_cell_10.npz,9
11,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_005_results_results_cell_11.npz,2
12,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_005_results_results_cell_12.npz,8
13,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_005_results_results_cell_13.npz,54
14,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_005_results_results_cell_14.npz,30
15,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_005_results_results_cell_15.npz,929
16,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_005_results_results_cell_16.npz,14
17,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_005_results_results_cell_17.npz,252
18,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_005_results_results_cell_18.npz,5
19,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_005_results_results_cell_19.npz,28
20,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_005_results_results_cell_20.npz,221
21,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_005_results_results_cell_21.npz,2260
22,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_005_results_results_cell_22.npz,451
23,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_005_results_results_cell_23.npz,18
24,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_005_results_results_cell_24.npz,504
25,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_005_results_results_cell_25.npz,991
26,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_010_results_results_cell_0.npz,157
27,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_010_results_results_cell_1.npz,30
28,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_010_results_results_cell_2.npz,5
29,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_010_results_results_cell_3.npz,11
30,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_010_results_results_cell_4.npz,1312
31,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_010_results_results_cell_5.npz,207
32,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_010_results_results_cell_6.npz,2022
33,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_010_results_results_cell_7.npz,2130
34,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_010_results_results_cell_8.npz,1014
35,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_010_results_results_cell_9.npz,307
36,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_010_results_results_cell_10.npz,1782
37,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_010_results_results_cell_11.npz,12
38,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_010_results_results_cell_12.npz,151
39,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_010_results_results_cell_13.npz,194
40,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_010_results_results_cell_14.npz,132
41,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_010_results_results_cell_15.npz,1703
42,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_010_results_results_cell_16.npz,2162
43,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_010_results_results_cell_17.npz,82
44,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_010_results_results_cell_18.npz,1770
45,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_010_results_results_cell_19.npz,6
46,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_010_results_results_cell_20.npz,215
47,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_010_results_results_cell_21.npz,2890
48,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_010_results_results_cell_22.npz,320
49,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_010_results_results_cell_23.npz,90
50,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_010_results_results_cell_24.npz,13
51,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_010_results_results_cell_25.npz,3
52,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_010_results_results_cell_26.npz,4
53,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_010_results_results_cell_27.npz,10
54,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_010_results_results_cell_28.npz,63
55,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_003_results_results_cell_0.npz,3
56,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_003_results_results_cell_1.npz,1
57,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_003_results_results_cell_2.npz,1
58,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_003_results_results_cell_3.npz,2
59,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_003_results_results_cell_4.npz,3
60,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_003_results_results_cell_5.npz,3282
61,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_003_results_results_cell_6.npz,171
62,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_003_results_results_cell_7.npz,36
63,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_003_results_results_cell_8.npz,2
64,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_003_results_results_cell_9.npz,5
65,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_003_results_results_cell_10.npz,10
66,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_003_results_results_cell_11.npz,2
67,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_003_results_results_cell_12.npz,3
68,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_003_results_results_cell_13.npz,2
69,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_003_results_results_cell_14.npz,6
70,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_003_results_results_cell_15.npz,19
71,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_003_results_results_cell_16.npz,58
72,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_003_results_results_cell_17.npz,7
73,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_003_results_results_cell_18.npz,17
74,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_003_results_results_cell_19.npz,5
75,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_003_results_results_cell_20.npz,1
76,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_003_results_results_cell_21.npz,1
77,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_003_results_results_cell_22.npz,35
78,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_003_results_results_cell_23.npz,2
79,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_003_results_results_cell_24.npz,5
80,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_003_results_results_cell_25.npz,4
81,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_003_results_results_cell_26.npz,1
82,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_003_results_results_cell_27.npz,0
83,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_003_results_results_cell_28.npz,7
84,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_003_results_results_cell_29.npz,5
85,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_003_results_results_cell_30.npz,4
86,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_003_results_results_cell_31.npz,4
87,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_003_results_results_cell_32.npz,19
88,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_011_results_results_cell_0.npz,2310
89,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_011_results_results_cell_1.npz,1388
90,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_011_results_results_cell_2.npz,2607
91,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_011_results_results_cell_3.npz,1335
92,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_011_results_results_cell_4.npz,2
93,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_011_results_results_cell_5.npz,8
94,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_011_results_results_cell_6.npz,1
95,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_011_results_results_cell_7.npz,4
96,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_011_results_results_cell_8.npz,2
97,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_011_results_results_cell_9.npz,8
98,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_011_results_results_cell_10.npz,106
99,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_011_results_results_cell_11.npz,1197
100,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_011_results_results_cell_12.npz,111
101,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_011_results_results_cell_13.npz,3
102,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_011_results_results_cell_14.npz,42
103,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_011_results_results_cell_15.npz,67
104,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_011_results_results_cell_16.npz,3
105,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_011_results_results_cell_17.npz,93
106,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_011_results_results_cell_18.npz,11
107,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_011_results_results_cell_19.npz,793
108,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_011_results_results_cell_20.npz,10
109,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_011_results_results_cell_21.npz,4
110,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_011_results_results_cell_22.npz,1364
111,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_011_results_results_cell_23.npz,24
112,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_011_results_results_cell_24.npz,4
113,20221221_221221_smFISH_MKRN1KO_HIV_rep3_24hpi_011_results_results_cell_25.npz,53
