,file_name,total_RNAs
0,20221218_221218_smFISH_MKRN1KO_HIV_rep2_72hpi_004_results_results_cell_0.npz,6
1,20221218_221218_smFISH_MKRN1KO_HIV_rep2_72hpi_004_results_results_cell_1.npz,84
2,20221218_221218_smFISH_MKRN1KO_HIV_rep2_72hpi_004_results_results_cell_2.npz,19
3,20221218_221218_smFISH_MKRN1KO_HIV_rep2_72hpi_004_results_results_cell_3.npz,0
4,20221218_221218_smFISH_MKRN1KO_HIV_rep2_72hpi_004_results_results_cell_4.npz,7
5,20221218_221218_smFISH_MKRN1KO_HIV_rep2_72hpi_004_results_results_cell_5.npz,60
6,20221218_221218_smFISH_MKRN1KO_HIV_rep2_72hpi_004_results_results_cell_6.npz,9
7,20221218_221218_smFISH_MKRN1KO_HIV_rep2_72hpi_004_results_results_cell_7.npz,5
8,20221218_221218_smFISH_MKRN1KO_HIV_rep2_72hpi_004_results_results_cell_8.npz,6
9,20221218_221218_smFISH_MKRN1KO_HIV_rep2_72hpi_004_results_results_cell_9.npz,17
10,20221218_221218_smFISH_MKRN1KO_HIV_rep2_72hpi_004_results_results_cell_10.npz,13
11,20221218_221218_smFISH_MKRN1KO_HIV_rep2_72hpi_004_results_results_cell_11.npz,0
12,20221218_221218_smFISH_MKRN1KO_HIV_rep2_72hpi_004_results_results_cell_12.npz,3
13,20221218_221218_smFISH_MKRN1KO_HIV_rep2_72hpi_004_results_results_cell_13.npz,2
14,20221218_221218_smFISH_MKRN1KO_HIV_rep2_72hpi_004_results_results_cell_14.npz,1009
15,20221218_221218_smFISH_MKRN1KO_HIV_rep2_72hpi_004_results_results_cell_15.npz,776
16,20221218_221218_smFISH_MKRN1KO_HIV_rep2_72hpi_004_results_results_cell_16.npz,26
17,20221218_221218_smFISH_MKRN1KO_HIV_rep2_72hpi_004_results_results_cell_17.npz,29
18,20221218_221218_smFISH_MKRN1KO_HIV_rep2_72hpi_004_results_results_cell_18.npz,14
19,20221218_221218_smFISH_MKRN1KO_HIV_rep2_72hpi_004_results_results_cell_19.npz,289
20,20221218_221218_smFISH_MKRN1KO_HIV_rep2_72hpi_004_results_results_cell_20.npz,3794
21,20221218_221218_smFISH_MKRN1KO_HIV_rep2_72hpi_004_results_results_cell_21.npz,939
22,20221218_221218_smFISH_MKRN1KO_HIV_rep2_72hpi_004_results_results_cell_22.npz,814
23,20221218_221218_smFISH_MKRN1KO_HIV_rep2_72hpi_004_results_results_cell_23.npz,36
24,20221218_221218_smFISH_MKRN1KO_HIV_rep2_72hpi_004_results_results_cell_24.npz,868
25,20221218_221218_smFISH_MKRN1KO_HIV_rep2_72hpi_004_results_results_cell_25.npz,27
26,20221218_221218_smFISH_MKRN1KO_HIV_rep2_72hpi_004_results_results_cell_26.npz,122
27,20221218_221218_smFISH_MKRN1KO_HIV_rep2_72hpi_004_results_results_cell_27.npz,120
28,20221218_221218_smFISH_MKRN1KO_HIV_rep2_72hpi_004_results_results_cell_28.npz,109
29,20221218_221218_smFISH_MKRN1KO_HIV_rep2_72hpi_004_results_results_cell_29.npz,245
30,20221218_221218_smFISH_MKRN1KO_HIV_rep2_72hpi_004_results_results_cell_30.npz,287
31,20221218_221218_smFISH_MKRN1KO_HIV_rep2_72hpi_004_results_results_cell_31.npz,47
32,20221218_221218_smFISH_MKRN1KO_HIV_rep2_72hpi_004_results_results_cell_32.npz,33
33,20221218_221218_smFISH_MKRN1KO_HIV_rep2_72hpi_004_results_results_cell_33.npz,104
34,20221218_221218_smFISH_MKRN1KO_HIV_rep2_72hpi_004_results_results_cell_34.npz,96
35,20221218_221218_smFISH_MKRN1KO_HIV_rep2_72hpi_004_results_results_cell_35.npz,1058
36,20221218_221218_smFISH_MKRN1KO_HIV_rep2_72hpi_004_results_results_cell_36.npz,1
37,20221218_221218_smFISH_MKRN1KO_HIV_rep2_72hpi_004_results_results_cell_37.npz,75
38,20221218_221218_smFISH_MKRN1KO_HIV_rep2_72hpi_004_results_results_cell_38.npz,96
39,20221218_221218_smFISH_MKRN1KO_HIV_rep2_72hpi_004_results_results_cell_39.npz,1
40,20221218_221218_smFISH_MKRN1KO_HIV_rep2_72hpi_004_results_results_cell_40.npz,1
41,20221218_221218_smFISH_MKRN1KO_HIV_rep2_72hpi_004_results_results_cell_41.npz,0
42,20221218_221218_smFISH_MKRN1KO_HIV_rep2_72hpi_004_results_results_cell_42.npz,2
43,20221218_221218_smFISH_MKRN1KO_HIV_rep2_72hpi_004_results_results_cell_43.npz,962
44,20221218_221218_smFISH_MKRN1KO_HIV_rep2_72hpi_004_results_results_cell_44.npz,1003
45,20221218_221218_smFISH_MKRN1KO_HIV_rep2_72hpi_004_results_results_cell_45.npz,1049
46,20221218_221218_smFISH_MKRN1KO_HIV_rep2_72hpi_004_results_results_cell_46.npz,1
47,20221218_221218_smFISH_MKRN1KO_HIV_rep2_72hpi_004_results_results_cell_47.npz,826
48,20221218_221218_smFISH_MKRN1KO_HIV_rep2_72hpi_004_results_results_cell_48.npz,0
49,20221218_221218_smFISH_MKRN1KO_HIV_rep2_72hpi_004_results_results_cell_49.npz,22
50,20221218_221218_smFISH_MKRN1KO_HIV_rep2_72hpi_004_results_results_cell_50.npz,335
51,20221218_221218_smFISH_WT_HIV_rep2_72hpi_002_results_results_cell_0.npz,2156
52,20221218_221218_smFISH_WT_HIV_rep2_72hpi_002_results_results_cell_1.npz,1974
53,20221218_221218_smFISH_WT_HIV_rep2_72hpi_002_results_results_cell_2.npz,87
54,20221218_221218_smFISH_WT_HIV_rep2_72hpi_002_results_results_cell_3.npz,40
55,20221218_221218_smFISH_WT_HIV_rep2_72hpi_002_results_results_cell_4.npz,1907
56,20221218_221218_smFISH_WT_HIV_rep2_72hpi_002_results_results_cell_5.npz,1383
57,20221218_221218_smFISH_WT_HIV_rep2_72hpi_002_results_results_cell_6.npz,46
58,20221218_221218_smFISH_WT_HIV_rep2_72hpi_002_results_results_cell_7.npz,11
59,20221218_221218_smFISH_WT_HIV_rep2_72hpi_002_results_results_cell_8.npz,11
60,20221218_221218_smFISH_WT_HIV_rep2_72hpi_002_results_results_cell_9.npz,215
61,20221218_221218_smFISH_WT_HIV_rep2_72hpi_002_results_results_cell_10.npz,61
62,20221218_221218_smFISH_WT_HIV_rep2_72hpi_002_results_results_cell_11.npz,601
63,20221218_221218_smFISH_WT_HIV_rep2_72hpi_002_results_results_cell_12.npz,2074
64,20221218_221218_smFISH_WT_HIV_rep2_72hpi_002_results_results_cell_13.npz,204
65,20221218_221218_smFISH_WT_HIV_rep2_72hpi_002_results_results_cell_14.npz,2039
66,20221218_221218_smFISH_WT_HIV_rep2_72hpi_002_results_results_cell_15.npz,2166
67,20221218_221218_smFISH_WT_HIV_rep2_72hpi_002_results_results_cell_16.npz,633
68,20221218_221218_smFISH_WT_HIV_rep2_72hpi_002_results_results_cell_17.npz,1504
69,20221218_221218_smFISH_WT_HIV_rep2_72hpi_002_results_results_cell_18.npz,2307
70,20221218_221218_smFISH_WT_HIV_rep2_72hpi_002_results_results_cell_19.npz,2368
71,20221218_221218_smFISH_WT_HIV_rep2_72hpi_002_results_results_cell_20.npz,10
72,20221218_221218_smFISH_WT_HIV_rep2_72hpi_002_results_results_cell_21.npz,612
73,20221218_221218_smFISH_WT_HIV_rep2_72hpi_002_results_results_cell_22.npz,71
74,20221218_221218_smFISH_WT_HIV_rep2_72hpi_002_results_results_cell_23.npz,445
75,20221218_221218_smFISH_WT_HIV_rep2_72hpi_002_results_results_cell_24.npz,27
76,20221218_221218_smFISH_WT_HIV_rep2_72hpi_002_results_results_cell_25.npz,305
77,20221218_221218_smFISH_WT_HIV_rep2_72hpi_002_results_results_cell_26.npz,161
78,20221218_221218_smFISH_WT_HIV_rep2_72hpi_002_results_results_cell_27.npz,723
79,20221218_221218_smFISH_WT_HIV_rep2_72hpi_002_results_results_cell_28.npz,722
80,20221218_221218_smFISH_WT_HIV_rep2_72hpi_002_results_results_cell_29.npz,52
